loc_rowid,pl_name,hostname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_angsep,pl_angseperr1,pl_angseperr2,pl_angseplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_dist,sy_disterr1,sy_disterr2
3042,Kepler-1772 b,Kepler-1772,1,1,0,0,Transit,3.21509004,,,0,0.0418,,,0,0.048,,,0,2.686,,,0,7.68,,,0,2.18,,,0,0,,,0,2454966.777,0.00193,-0.00193,0,3.9026,0.075,-0.075,0,0.01149,0.00033,-0.00017,0,,,,,0.93,0.12,-0.07,0,0.94,0.05,-0.06,0,4.47,0.06,-0.1,0,0.01886,0.37735,-0.06359,0,,,,,,,,,,,,,871.564,12.502,-12.16
3043,Kepler-1773 b,Kepler-1773,1,1,0,0,Transit,40.80970001,,,0,0.2489,,,0,0.365,,,0,3.505,,,0,12.1,,,0,1.54,,,0,0,,,0,2454975.692,0.00193,-0.00193,0,2.7015,0.0745,-0.0745,0,0.01928,0.00057,-0.00034,0,,,,,1.3,0.22,-0.13,0,1.24,0.09,-0.09,0,4.3,0.07,-0.11,0,0.63026,14.91947,-0.95236,0,,,,,,,,,,,,,681.255,9.84,-9.568
3044,Kepler-1774 b,Kepler-1774,1,1,0,0,Transit,59.77080154,,,0,0.3096,,,0,0.379,,,0,3.182,,,0,10.2,,,0,1.74,,,0,0,,,0,2454981.97,0.00287,-0.00287,0,4.4935,0.0982,-0.0982,0,0.02354,0.0011,-0.0018,0,,,,,1.12,0.38,-0.15,0,1.1,0.17,-0.13,0,4.38,0.09,-0.22,0,0.53689,4.58416,-0.2242,0,,,,,,,,,,,,,816.592,11.812,-11.812
3045,Kepler-1775 b,Kepler-1775,1,1,0,0,Transit,85.65399933,,,0,0.3986,,,0,0.607,,,0,3.648,,,0,12.9,,,0,1.46,,,0,0,,,0,2454988.127,0.00319,-0.00319,0,6.877,0.106,-0.106,0,0.02024,0.00047,-0.00041,0,,,,,1.65,0.25,-0.38,0,1.15,0.13,-0.11,0,4.07,0.2,-0.08,0,2.3666,0.10897,-0.85284,0,,,,,,,,,,,,,657.023,6.088,-5.978
3046,Kepler-1776 b,Kepler-1776,1,1,0,0,Transit,35.01190186,,,0,0.2124,,,0,0.308,,,0,2.612,,,0,7.33,,,0,2.26,,,0,0,,,0,2454983.37,0.00198,-0.00198,0,2.868,0.0684,-0.0684,0,0.01987,0.00034,-0.00071,0,,,,,1.15,0.18,-0.14,0,1.04,0.08,-0.06,0,4.33,0.1,-0.12,0,1.02226,15.62247,-0.31652,0,,,,,,,,,,,,,690.336,6.7705,-6.7705
3047,Kepler-1777 b,Kepler-1777,1,1,0,0,Transit,12.18420029,,,0,0.1031,,,0,0.167,,,0,2.132,,,0,5.19,,,0,2.94,,,0,0,,,0,2454972.059,0.0021,-0.0021,0,2.4468,0.0611,-0.0611,0,0.02115,0.00043,-0.00069,0,,,,,1.07,0.16,-0.12,0,0.98,0.07,-0.07,0,4.37,0.11,-0.11,0,2.24035,4.70344,-2.02432,0,,,,,,,,,,,,,619.146,6.1395,-6.1395
3048,Kepler-1778 b,Kepler-1778,1,1,0,0,Transit,10.08740044,,,0,0.0956,,,0,0.0749,,,0,3.017,,,0,9.36,,,0,1.87,,,0,0,,,0,2454968.136,0.00218,-0.00218,0,2.9884,0.0713,-0.0713,0,0.02635,0.00001,-0.00392,0,,,,,1.09,0.31,-0.13,0,1.14,0.16,-0.16,0,4.42,0.07,-0.2,0,0.29911,3.49596,-0.02251,0,,,,,,,,,,,,,1276.29,49.77,-46.23
3049,Kepler-1779 b,Kepler-1779,1,1,0,0,Transit,16.34359932,,,0,0.1264,,,0,0.139,,,0,3.033,,,0,9.44,,,0,1.86,,,0,0,,,0,2454978.04,0.00294,-0.00294,0,5.3072,0.0989,-0.0989,0,0.0257,0.00048,-0.00048,0,,,,,1.06,0.16,-0.09,0,1.01,0.06,-0.06,0,4.39,0.08,-0.12,0,0.33885,0.49546,-0.28048,0,,,,,,,,,,,,,908.501,25.537,-24.201
3050,Kepler-178 b,Kepler-178,1,3,0,0,Transit,9.576694,0.000021,-0.000021,0,0.085,,,0,0.119,,,0,2.9,1.25,-1.25,0,8.75,,,0,1.97,,,0,0,,,0,2455009.681,0.00124,-0.00124,0,3.377,0.044,-0.044,0,0.02488,0.00045,-0.0002,0,,,,,1.07,0.45,-0.45,0,0.94,0.04,-0.04,0,4.33,0.3,-0.3,0,2.32199,0.08916,-0.42175,0,,,,,,,,,,,,,716.025,10.369,-10.082
3051,Kepler-178 c,Kepler-178,1,3,0,0,Transit,20.552802,0.000066,-0.000066,0,0.142,,,0,0.198,,,0,2.88,1.23,-1.23,0,8.65,,,0,1.99,,,0,0,,,0,2454978.026,0.00201,-0.00201,0,2.205,0.067,-0.067,0,0.0296,0.0018,-0.0018,0,,,,,1.07,0.45,-0.45,0,0.94,0.04,-0.04,0,4.33,0.3,-0.3,0,10.59769,7.79033,-0.2835,0,,,,,,,,,,,,,716.025,10.369,-10.082
3052,Kepler-178 d,Kepler-178,1,3,0,0,Transit,96.678988,0.000702,-0.000702,0,0.397,,,0,0.554,,,0,3.95,1.7,-1.7,0,14.8,,,0,1.32,,,0,0,,,0,2454973.178,0.00387,-0.00387,0,6.276,0.206,-0.206,0,0.02804,0.00053,-0.00084,0,,,,,1.07,0.45,-0.45,0,0.94,0.04,-0.04,0,4.33,0.3,-0.3,0,4.04888,1.0113,-0.77425,0,,,,,,,,,,,,,716.025,10.369,-10.082
3053,Kepler-1780 b,Kepler-1780,1,1,0,0,Transit,109.4449997,,,0,0.4276,,,0,0.541,,,0,3.606,,,0,12.7,,,0,1.49,,,0,0,,,0,2455030.984,0.00264,-0.00264,0,4.1532,0.096,-0.096,0,0.03209,0.00132,-0.00077,0,,,,,0.87,0.08,-0.06,0,0.87,0.05,-0.05,0,4.5,0.06,-0.07,0,18.03324,2.43768,-5.55669,0,,,,,,,,,,,,,790.516,14.6085,-14.6085
3054,Kepler-1781 b,Kepler-1781,1,1,0,0,Transit,4.88752985,,,0,0.0574,,,0,0.0596,,,0,2.381,,,0,6.26,,,0,2.55,,,0,0,,,0,2454965.707,0.00188,-0.00188,0,1.9913,0.0609,-0.0609,0,0.0243,0.00111,-0.00045,0,,,,,0.96,0.24,-0.08,0,1.05,0.08,-0.12,0,4.5,0.04,-0.19,0,5.09659,0.87981,-2.13768,0,,,,,,,,,,,,,962.63,34.958,-32.63
3055,Kepler-1782 b,Kepler-1782,1,1,0,0,Transit,5.75622988,,,0,0.0582,,,0,0.19,,,0,2.229,,,0,5.6,,,0,2.78,,,0,0,,,0,2454966.904,0.000792,-0.000792,0,1.071,0.0321,-0.0321,0,0.0279,0.00017,-0.00464,0,,,,,0.73,0.05,-0.03,0,0.79,0.04,-0.05,0,4.61,0.02,-0.05,0,5.4985,39.5287,-2.39052,0,,,,,,,,,,,,,305.792,1.39,-1.377
3056,Kepler-1783 b,Kepler-1783,1,1,0,0,Transit,8.27744007,,,0,0.077,,,0,0.292,,,0,1.319,,,0,2.3,,,0,5.5,,,0,0,,,0,2454971.255,0.00245,-0.00245,0,2.7043,0.0636,-0.0636,0,0.01222,0.00063,-0.00012,0,,,,,1.78,0.91,-1.11,0,0.89,0.12,-0.16,0,3.88,0.71,-0.3,0,3.27949,0.8864,-1.20546,0,,,,,,,,,,,,,264.078,1.232,-1.22
3057,Kepler-1784 b,Kepler-1784,1,1,0,0,Transit,13.59049988,,,0,0.1072,,,0,0.121,,,0,2.799,,,0,8.24,,,0,2.06,,,0,0,,,0,2454966.069,0.0032,-0.0032,0,3.784,0.104,-0.104,0,0.02254,0.00081,-0.0007,0,,,,,0.97,0.25,-0.13,0,0.89,0.1,-0.07,0,4.41,0.14,-0.18,0,2.09179,0.30736,-0.67718,0,,,,,,,,,,,,,883.045,21.309,-20.344
3058,Kepler-1785 b,Kepler-1785,1,1,0,0,Transit,19.58550072,,,0,0.1379,,,0,0.185,,,0,2.704,,,0,7.77,,,0,2.16,,,0,0,,,0,2454965.366,0.001698,-0.001698,0,1.928,0.107,-0.107,0,0.02841,0.00154,-0.00721,0,,,,,1,0.13,-0.11,0,0.91,0.07,-0.05,0,4.4,0.1,-0.1,0,1.39703,59.87251,-1.05872,0,3.8,,,0,,,,,-18.23,0.17,-0.17,0,745.74,10.685,-10.393
3059,Kepler-1786 b,Kepler-1786,1,1,0,0,Transit,78.5460968,,,0,0.3659,,,0,0.424,,,0,3.163,,,0,10.1,,,0,1.75,,,0,0,,,0,2454977.07,0.0037,-0.0037,0,8.684,0.129,-0.129,0,0.02328,0.00075,-0.00042,0,,,,,1.4,0.23,-0.25,0,1.06,0.11,-0.07,0,4.17,0.16,-0.11,0,1.07922,0.06975,-0.2725,0,,,,,,,,,,,,,863.909,13.303,-13.303
3060,Kepler-1787 b,Kepler-1787,1,1,0,0,Transit,39.31370163,,,0,0.227,,,0,0.292,,,0,2.319,,,0,5.99,,,0,2.64,,,0,0,,,0,2454987.939,0.00313,-0.00313,0,4.8901,0.0849,-0.0849,0,0.02052,0.00063,-0.00036,0,,,,,0.93,0.26,-0.09,0,1.01,0.12,-0.13,0,4.51,0.05,-0.19,0,2.79643,0.15601,-0.74281,0,,,,,,,,,,,,,778.602,13.017,-12.604
3061,Kepler-1788 b,Kepler-1788,1,1,0,0,Transit,2.80012012,,,0,0.0343,,,0,0.0612,,,0,2.379,,,0,6.25,,,0,2.55,,,0,0,,,0,2454965.047,0.000966,-0.000966,0,0.9654,0.0404,-0.0404,0,0.02557,0.0012,-0.00046,0,,,,,0.7,0.05,-0.07,0,0.69,0.08,-0.05,0,4.58,0.06,-0.03,0,5.75791,20.07703,-3.8014,0,,,,,,,,,,,,,560.445,8.159,-7.933
3062,Kepler-1789 b,Kepler-1789,1,1,0,0,Transit,80.23190308,,,0,0.3543,,,0,0.579,,,0,2.831,,,0,8.4,,,0,2.03,,,0,0,,,0,2454995.39,0.004,-0.004,0,4.656,0.128,-0.128,0,0.0374,0.0023,-0.0023,0,,,,,0.89,0.1,-0.05,0,0.92,0.05,-0.05,0,4.5,0.04,-0.1,0,0.77896,8.149,-0.3754,0,,,,,,,,,,,,,611.461,7.918,-7.722
3063,Kepler-179 b,Kepler-179,1,2,0,0,Transit,2.735926,0.000008,-0.000008,0,0.036,,,0,0.0594,,,0,1.64,0.68,-0.68,0,3.33,,,0,4.15,,,0,0,,,0,2455004.094,0.00156,-0.00156,0,1.987,0.051,-0.051,0,0.0187,0.00056,-0.00041,0,,,,,0.76,0.31,-0.31,0,0.84,0.03,-0.03,0,4.61,0.3,-0.3,0,3.16386,0.27727,-0.96486,0,3,,,0,,,,,-32.82,0.22,-0.22,0,605.68,6.565,-6.565
3064,Kepler-179 c,Kepler-179,1,2,0,0,Transit,6.40013,0.000017,-0.000017,0,0.064,,,0,0.106,,,0,2,0.81,-0.81,0,4.66,,,0,3.2,,,0,0,,,0,2455007.023,0.00136,-0.00136,0,1.842,0.052,-0.052,0,0.02721,0.00032,-0.00186,0,,,,,0.76,0.31,-0.31,0,0.84,0.03,-0.03,0,4.61,0.3,-0.3,0,3.92897,5.02141,-0.13975,0,3,,,0,,,,,-32.82,0.22,-0.22,0,605.68,6.565,-6.565
3065,Kepler-1790 b,Kepler-1790,1,1,0,0,Transit,31.58889961,,,0,0.197,,,0,0.184,,,0,3.145,,,0,10,,,0,1.77,,,0,0,,,0,2454988.616,0.00301,-0.00301,0,3.4026,0.0984,-0.0984,0,0.01798,0.00055,-0.0006,0,,,,,1.37,0.21,-0.26,0,1.02,0.09,-0.08,0,4.17,0.18,-0.1,0,6.53293,1.07668,-2.0829,0,,,,,,,,,,,,,1070.17,21.84,-20.99
3066,Kepler-1791 b,Kepler-1791,1,1,0,0,Transit,7.72086,,,0,0.0761,,,0,0.126,,,0,3.121,,,0,9.91,,,0,1.79,,,0,0,,,0,2454969.564,0.00176,-0.00176,0,1.5151,0.0574,-0.0574,0,0.0154,0.00028,-0.00061,0,,,,,1.18,0.19,-0.19,0,0.99,0.08,-0.06,0,4.29,0.14,-0.11,0,0.40645,17.10774,-0.46677,0,,,,,,,,,,,,,602.218,,
3067,Kepler-1792 b,Kepler-1792,1,1,0,0,Transit,4.1957798,,,0,0.0488,,,0,0.0812,,,0,2.52,,,0,6.89,,,0,2.37,,,0,0,,,0,2454968.175,0.00171,-0.00171,0,2.1421,0.0472,-0.0472,0,0.02758,0.00086,-0.00064,0,,,,,1.01,0.33,-0.18,0,0.88,0.08,-0.06,0,4.38,0.16,-0.24,0,2.46352,1.73818,-0.39468,0,,,,,,,,,,,,,601.029,9.824,-9.519
3068,Kepler-1793 b,Kepler-1793,1,1,0,0,Transit,8.77999973,,,0,0.0787,,,0,0.0661,,,0,3.79,,,0,13.8,,,0,1.39,,,0,0,,,0,2454971.484,0.00315,-0.00315,0,3.2201,0.0981,-0.0981,0,0.0322,0.001,-0.001,0,,,,,0.76,0.11,-0.06,0,0.85,0.07,-0.09,0,4.6,0.03,-0.09,0,1.65118,0.93622,-0.25989,0,,,,,,,,,,,,,1189.88,53.57,-53.57
